,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
448,GA,Echols,4030,3956,3914,4000,4006,3981.2
449,GA,Effingham,57076,58699,60086,62228,64296,60477.0
450,GA,Elbert,19302,19136,19102,19095,19194,19165.8
451,GA,Emanuel,22471,22406,22533,22607,22646,22532.6
452,GA,Evans,10690,10648,10741,10702,10654,10687.0
453,GA,Fannin,24442,25032,25332,25981,26188,25395.0
454,GA,Fayette,110141,111218,112553,113181,114421,112302.8
455,GA,Floyd,96186,96698,97500,97964,98498,97369.2
456,GA,Forsyth,211250,220481,228940,236993,244252,228383.2
457,GA,Franklin,22267,22316,22864,23034,23349,22766.0
458,GA,Fulton,1005127,1022866,1038938,1050131,1063937,1036199.8
459,GA,Gilmer,29514,29911,30443,30835,31369,30414.4
460,GA,Glascock,3020,2978,3032,2977,2971,2995.6
461,GA,Glynn,83311,84099,84675,84975,85292,84470.4
462,GA,Gordon,56324,56933,57164,57628,57963,57202.4
463,GA,Grady,25089,24869,24773,24774,24633,24827.6
464,GA,Greene,16617,16869,17203,17733,18324,17349.2
465,GA,Gwinnett,888494,904962,918186,927337,936250,915045.8
466,GA,Habersham,43792,44104,44535,45373,45328,44626.4
467,GA,Hall,192245,196159,198953,201538,204441,198667.2
468,GA,Hancock,8578,8633,8539,8368,8457,8515.0
469,GA,Haralson,28702,28830,29248,29561,29792,29226.6
470,GA,Harris,33155,33633,33943,34560,35236,34105.4
471,GA,Hart,25410,25471,25710,26071,26205,25773.4
472,GA,Heard,11556,11579,11751,11871,11923,11736.0
473,GA,Henry,216414,220896,225182,229728,234561,225356.2
474,GA,Houston,149323,151622,153202,155523,157863,153506.6
475,GA,Irwin,9135,9302,9352,9396,9416,9320.2
476,GA,Jackson,63418,65061,67644,70325,72977,67885.0
477,GA,Jasper,13683,13767,13882,14029,14219,13916.0
478,GA,Jeff Davis,15013,14965,15039,15048,15115,15036.0
479,GA,Jefferson,15917,15755,15630,15424,15362,15617.6
480,GA,Jenkins,8899,8812,8813,8765,8676,8793.0
481,GA,Johnson,9708,9660,9737,9706,9643,9690.8
482,GA,Jones,28441,28574,28466,28680,28735,28579.2
483,GA,Lamar,18236,18484,18600,18961,19077,18671.6
484,GA,Lanier,10269,10430,10425,10355,10423,10380.4
485,GA,Laurens,47486,47279,47376,47336,47546,47404.6
486,GA,Lee,29173,29184,29410,29751,29992,29502.0
487,GA,Liberty,61611,61473,61619,60606,61435,61348.8
488,GA,Lincoln,7722,7855,7856,7925,7921,7855.8
489,GA,Long,17658,18372,18780,19091,19559,18692.0
490,GA,Lowndes,113342,114360,115404,116309,117406,115364.2
491,GA,Lumpkin,31285,31415,32801,32899,33610,32402.0
492,GA,McDuffie,21462,21456,21511,21532,21312,21454.6
493,GA,McIntosh,14031,14057,14080,14322,14378,14173.6
494,GA,Macon,13688,13478,13254,13160,12947,13305.4
495,GA,Madison,28419,28856,29295,29642,29880,29218.4
496,GA,Marion,8558,8468,8403,8373,8359,8432.2
497,GA,Meriwether,21173,21074,21021,21094,21167,21105.8
498,GA,Miller,5848,5874,5813,5684,5718,5787.4
499,GA,Mitchell,22449,22455,22317,22135,21863,22243.8
500,GA,Monroe,26708,26905,27163,27503,27578,27171.4
501,GA,Montgomery,8942,8985,9024,9168,9172,9058.2
502,GA,Morgan,17948,18107,18373,18831,19276,18507.0
503,GA,Murray,39430,39347,39803,39943,40096,39723.8
504,GA,Muscogee,198702,196219,193836,194169,195769,195739.0
505,GA,Newton,104884,106499,107846,109421,111744,108078.8
506,GA,Oconee,35853,36929,38122,39478,40280,38132.4
507,GA,Oglethorpe,14732,14712,14874,15080,15259,14931.4
508,GA,Paulding,151649,155246,159509,164053,168667,159824.8
509,GA,Peach,26970,26885,26961,27363,27546,27145.0
510,GA,Pickens,30136,30652,31541,32014,32591,31386.8
511,GA,Pierce,19094,19104,19197,19388,19465,19249.6
512,GA,Pike,17925,17897,18204,18647,18962,18327.0
513,GA,Polk,41207,41555,41818,42346,42613,41907.8
514,GA,Pulaski,11395,11288,11181,11080,11137,11216.2
515,GA,Putnam,21307,21515,21692,21820,22119,21690.6
516,GA,Quitman,2275,2320,2333,2260,2299,2297.4
517,GA,Rabun,16223,16465,16545,16857,17137,16645.4
518,GA,Randolph,7150,7155,6969,6812,6778,6972.8
519,GA,Richmond,201451,201949,201673,201667,202518,201851.6
520,GA,Rockdale,88354,88987,89843,90505,90896,89717.0
521,GA,Schley,5209,5173,5235,5230,5257,5220.8
522,GA,Screven,14059,14003,13956,13960,13966,13988.8
523,GA,Seminole,8565,8427,8253,8270,8090,8321.0
524,GA,Spalding,63818,64546,65358,66107,66703,65306.4
525,GA,Stephens,25446,25637,25736,26007,25925,25750.2
526,GA,Stewart,5973,6122,6314,6435,6621,6293.0
527,GA,Sumter,30696,30403,29901,29796,29524,30064.0
528,GA,Talbot,6498,6366,6256,6290,6195,6321.0
529,GA,Taliaferro,1642,1611,1613,1612,1537,1603.0
530,GA,Tattnall,25387,25342,25409,25485,25286,25381.8
531,GA,Taylor,8243,8189,8110,8020,8020,8116.4
532,GA,Telfair,16451,15962,15929,15974,15860,16035.2
533,GA,Terrell,9013,8861,8695,8587,8531,8737.4
534,GA,Thomas,44796,44950,44619,44334,44451,44630.0
535,GA,Tift,40536,40554,40431,40542,40644,40541.4
536,GA,Toombs,27150,27121,26859,26902,26830,26972.4
537,GA,Towns,11212,11419,11553,11866,12037,11617.4
538,GA,Treutlen,6803,6710,6746,6813,6901,6794.6
539,GA,Troup,69595,69939,70062,70078,69922,69919.2
540,GA,Turner,7982,7944,7895,7908,7985,7942.8
541,GA,Twiggs,8347,8249,8253,8174,8120,8228.6
542,GA,Union,22007,22640,23376,23905,24511,23287.8
543,GA,Upson,26231,26245,26201,26185,26320,26236.4
544,GA,Walker,68537,68455,68999,69443,69761,69039.0
545,GA,Walton,88333,89786,91296,93202,94593,91442.0
546,GA,Ware,35327,35648,35668,35587,35734,35592.8
547,GA,Warren,5374,5345,5265,5247,5254,5297.0
548,GA,Washington,20736,20347,20311,20410,20374,20435.6
549,GA,Wayne,29430,29974,29797,29810,29927,29787.6
550,GA,Webster,2631,2616,2589,2606,2607,2609.8
551,GA,Wheeler,7911,8015,7960,7898,7855,7927.8
552,GA,White,28387,28828,29445,29988,30798,29489.2
553,GA,Whitfield,103669,104406,104234,104249,104628,104237.2
554,GA,Wilcox,9024,8841,8791,8827,8635,8823.6
555,GA,Wilkes,9911,9809,9860,9864,9777,9844.2
556,GA,Wilkinson,9080,9020,8954,9043,8954,9010.2
557,GA,Worth,20688,20703,20528,20302,20247,20493.6
558,HI,Hawaii,1422052,1427559,1424393,1420593,1415872,1422093.8
559,HI,Hawaii,195975,198316,199981,201509,201513,199458.8
560,HI,Honolulu,991064,992268,986353,979858,974563,984821.2
561,HI,Kalawao,88,88,86,86,86,86.8
562,HI,Kauai,71021,71537,71827,72168,72293,71769.2
563,HI,Maui,163904,165350,166146,166972,167417,165957.8
564,ID,Idaho,1651059,1682380,1717715,1750536,1787065,1717751.0
565,ID,Ada,432862,444486,456548,468764,481587,456849.4
566,ID,Adams,3891,3941,4127,4234,4294,4097.4
567,ID,Bannock,84184,84676,85482,86674,87808,85764.8
568,ID,Bear Lake,5879,5927,6023,6044,6125,5999.6
569,ID,Benewah,8996,9021,9157,9218,9298,9138.0
570,ID,Bingham,45057,45315,45884,46129,46811,45839.2
571,ID,Blaine,21636,22062,22373,22771,23021,22372.6
572,ID,Boise,6963,7095,7347,7655,7831,7378.2
573,ID,Bonner,41600,42357,43654,44705,45739,43611.0
574,ID,Bonneville,109849,112118,114488,116444,119062,114392.2
575,ID,Boundary,11299,11701,11965,12016,12245,11845.2
576,ID,Butte,2566,2572,2585,2587,2597,2581.4
577,ID,Camas,1070,1082,1096,1121,1106,1095.0
578,ID,Canyon,206842,211381,216858,223236,229849,217633.2
579,ID,Caribou,6733,6867,6973,7037,7155,6953.0
580,ID,Cassia,23499,23479,23650,23791,24030,23689.8
581,ID,Clark,886,870,879,851,845,866.2
582,ID,Clearwater,8554,8651,8646,8758,8756,8673.0
583,ID,Custer,4059,4084,4135,4250,4315,4168.6
584,ID,Elmore,25826,26137,26881,27362,27511,26743.4
585,ID,Franklin,12955,13320,13467,13704,13876,13464.4
586,ID,Fremont,12812,12914,13122,13155,13099,13020.4
587,ID,Gem,16685,16959,17311,17587,18112,17330.8
588,ID,Gooding,15188,15135,15121,15116,15179,15147.8
589,ID,Idaho,16301,16236,16373,16476,16667,16410.6
590,ID,Jefferson,27127,27830,28439,29405,29871,28534.4
591,ID,Jerome,22971,23433,23768,24066,24412,23730.0
592,ID,Kootenai,149367,153019,157320,161209,165697,157322.4
593,ID,Latah,38796,39050,39741,39829,40108,39504.8
594,ID,Lemhi,7737,7709,7829,7932,8027,7846.8
595,ID,Lewis,3791,3846,3884,3832,3838,3838.2
596,ID,Lincoln,5307,5303,5376,5398,5366,5350.0
597,ID,Madison,37989,38972,39370,39261,39907,39099.8
598,ID,Minidoka,20430,20613,20722,20719,21039,20704.6
599,ID,Nez Perce,39995,40136,40289,40256,40408,40216.8
600,ID,Oneida,4248,4296,4389,4462,4531,4385.2
601,ID,Owyhee,11288,11364,11618,11669,11823,11552.4
602,ID,Payette,22790,22888,23163,23507,23951,23259.8
603,ID,Power,7687,7681,7606,7700,7681,7671.0
604,ID,Shoshone,12440,12416,12519,12790,12882,12609.4
605,ID,Teton,10725,11165,11445,11651,12142,11425.6
606,ID,Twin Falls,82245,83819,85374,86029,86878,84869.0
607,ID,Valley,10043,10422,10667,11021,11392,10709.0
608,ID,Washington,9891,10032,10051,10115,10194,10056.6
609,IL,Illinois,12858913,12820527,12778828,12723071,12671821,12770632.0
610,IL,Adams,66835,66475,66057,65623,65435,66085.0
611,IL,Alexander,6762,6459,6278,6041,5761,6260.2
612,IL,Bond,16686,16546,16648,16637,16426,16588.6
613,IL,Boone,53579,53570,53513,53480,53544,53537.2
614,IL,Brown,6753,6637,6609,6563,6578,6628.0
615,IL,Bureau,33491,33396,33137,32959,32628,33122.2
616,IL,Calhoun,4860,4869,4851,4829,4739,4829.6
617,IL,Carroll,14642,14596,14475,14314,14305,14466.4
618,IL,Cass,12843,12672,12492,12312,12147,12493.2
619,IL,Champaign,209382,210198,210425,209918,209689,209922.4
620,IL,Christian,33463,33230,33007,32653,32304,32931.4
621,IL,Clark,15868,15857,15812,15600,15441,15715.6
622,IL,Clay,13401,13314,13270,13266,13184,13287.0
623,IL,Clinton,37665,37599,37645,37697,37562,37633.6
624,IL,Coles,52179,51783,51353,50829,50621,51353.0
625,IL,Cook,5244088,5224272,5200821,5171960,5150233,5198274.8
626,IL,Crawford,19255,19133,18975,18830,18667,18972.0
627,IL,Cumberland,10860,10868,10880,10804,10766,10835.6
628,IL,DeKalb,104195,104080,104309,104349,104897,104366.0
629,IL,De Witt,16184,16137,15906,15794,15638,15931.8
630,IL,Douglas,19835,19727,19629,19458,19465,19622.8
631,IL,DuPage,933609,931256,930265,927247,922921,929059.6
632,IL,Edgar,17603,17519,17390,17360,17161,17406.6
633,IL,Edwards,6511,6536,6448,6387,6395,6455.4
634,IL,Effingham,34202,34170,34123,34181,34008,34136.8
635,IL,Fayette,22036,21570,21514,21368,21336,21564.8
636,IL,Ford,13529,13352,13298,13212,12961,13270.4
637,IL,Franklin,39383,39075,38995,38695,38469,38923.4
638,IL,Fulton,35713,35473,35104,34830,34340,35092.0
639,IL,Gallatin,5221,5157,5071,5045,4828,5064.4
640,IL,Greene,13345,13123,13156,13065,12969,13131.6
641,IL,Grundy,50363,50317,50622,50973,51054,50665.8
642,IL,Hamilton,8248,8186,8181,8148,8116,8175.8
643,IL,Hancock,18216,18205,17958,17828,17708,17983.0
644,IL,Hardin,4067,3991,3922,3893,3821,3938.8
645,IL,Henderson,6997,6886,6819,6697,6646,6809.0
646,IL,Henry,49638,49498,49219,49069,48913,49267.4
647,IL,Iroquois,28522,28163,27777,27484,27114,27812.0
648,IL,Jackson,59214,58726,57904,57289,56750,57976.6
649,IL,Jasper,9630,9583,9523,9624,9610,9594.0
650,IL,Jefferson,38272,38214,38045,37708,37684,37984.6
651,IL,Jersey,22260,21947,21912,21795,21773,21937.4
652,IL,Jo Daviess,22066,21814,21495,21331,21235,21588.2
653,IL,Johnson,12777,12454,12399,12423,12417,12494.0
654,IL,Kane,528760,530726,532272,532720,532403,531376.2
655,IL,Kankakee,111750,111080,110540,109953,109862,110637.0
656,IL,Kendall,122878,124535,126152,127717,128990,126054.4
657,IL,Knox,51370,50917,50577,49978,49699,50508.2
658,IL,Lake,704611,704158,702475,699587,696535,701473.2
659,IL,LaSalle,111019,110215,109622,109159,108669,109736.8
660,IL,Lawrence,16465,16182,16027,15813,15678,16033.0
661,IL,Lee,34521,34494,34540,34296,34096,34389.4
662,IL,Livingston,36605,36107,36124,35714,35648,36039.6
663,IL,Logan,29284,29166,29034,28912,28618,29002.8
664,IL,McDonough,31449,30907,30373,29984,29682,30479.0
665,IL,McHenry,307572,307159,307815,308251,307774,307714.2
666,IL,McLean,173141,173070,172754,172410,171517,172578.4
667,IL,Macon,107343,106383,105399,104504,104009,105527.6
668,IL,Macoupin,45876,45691,45505,45318,44926,45463.2
669,IL,Madison,265996,265641,265251,264026,262966,264776.0
670,IL,Marion,38359,38045,37726,37381,37205,37743.2
671,IL,Marshall,11925,11881,11668,11483,11438,11679.0
672,IL,Mason,13863,13675,13677,13533,13359,13621.4
673,IL,Massac,14567,14440,14291,14023,13772,14218.6
674,IL,Menard,12356,12398,12293,12289,12196,12306.4
675,IL,Mercer,15746,15602,15608,15551,15437,15588.8
676,IL,Monroe,33739,33913,34179,34373,34637,34168.2
677,IL,Montgomery,29192,29061,28781,28691,28414,28827.8
678,IL,Morgan,34673,34632,34245,34027,33658,34247.0
679,IL,Moultrie,14743,14610,14701,14648,14501,14640.6
680,IL,Ogle,51559,51148,50993,50781,50643,51024.8
681,IL,Peoria,186481,185043,182525,180620,179179,182769.6
682,IL,Perry,21521,21391,21281,21144,20916,21250.6
683,IL,Piatt,16350,16524,16422,16366,16344,16401.2
684,IL,Pike,15795,15742,15668,15595,15561,15672.2
685,IL,Pope,4291,4182,4183,4184,4177,4203.4
686,IL,Pulaski,5657,5604,5520,5434,5335,5510.0
687,IL,Putnam,5727,5710,5694,5736,5739,5721.2
688,IL,Randolph,32806,32414,32297,32177,31782,32295.2
689,IL,Richland,15957,15829,15837,15695,15513,15766.2
690,IL,Rock Island,146094,144943,143828,142621,141879,143873.0
691,IL,St. Clair,264858,263187,262600,261360,259686,262338.2
692,IL,Saline,24495,24230,23963,23789,23491,23993.6
693,IL,Sangamon,198898,198026,197072,195639,194672,196861.4
694,IL,Schuyler,7151,7030,6948,6870,6768,6953.4
695,IL,Scott,5110,5052,4983,4927,4951,5004.6
696,IL,Shelby,21819,21733,21774,21726,21634,21737.2
697,IL,Stark,5505,5512,5457,5418,5342,5446.8
698,IL,Stephenson,45668,45503,44997,44797,44498,45092.6
699,IL,Tazewell,134302,133932,133489,132450,131803,133195.2
700,IL,Union,17284,17105,16968,16832,16653,16968.4
701,IL,Vermilion,79170,78494,77689,76702,75758,77562.6
702,IL,Wabash,11624,11542,11523,11523,11520,11546.4
703,IL,Warren,17455,17294,17144,16992,16844,17145.8
704,IL,Washington,14262,14179,13963,13999,13887,14058.0
705,IL,Wayne,16517,16542,16412,16326,16215,16402.4
706,IL,White,14204,14079,13903,13618,13537,13868.2
707,IL,Whiteside,56919,56476,55955,55553,55175,56015.6
708,IL,Will,685877,688328,690479,691149,690743,689315.2
709,IL,Williamson,67428,67454,67049,66982,66597,67102.0
710,IL,Winnebago,287148,286065,284681,283630,282572,284819.2
711,IL,Woodford,38930,38913,38670,38527,38459,38699.8
712,IN,Indiana,6608422,6634304,6658078,6695497,6732219,6665704.0
713,IN,Adams,34945,35178,35385,35595,35777,35376.0
714,IN,Allen,367362,369412,371723,375079,379299,372575.0
715,IN,Bartholomew,81458,82231,82213,82722,83779,82480.6
716,IN,Benton,8693,8658,8631,8653,8748,8676.6
717,IN,Blackford,12242,12115,12028,11924,11758,12013.4
718,IN,Boone,63033,64192,65723,66930,67843,65544.2
719,IN,Brown,14994,14996,15010,15230,15092,15064.4
720,IN,Carroll,19887,19973,20067,20188,20257,20074.4
721,IN,Cass,38081,37905,37828,37895,37689,37879.6
722,IN,Clark,114819,115588,116545,117280,118302,116506.8
723,IN,Clay,26395,26210,26167,26175,26225,26234.4
724,IN,Clinton,32373,32207,32195,32192,32399,32273.2
725,IN,Crawford,10555,10583,10535,10594,10577,10568.8
726,IN,Daviess,32823,33010,33136,33278,33351,33119.6
727,IN,Dearborn,49455,49436,49564,49482,49458,49479.0
728,IN,Decatur,26339,26565,26620,26725,26559,26561.6
729,IN,DeKalb,42496,42652,42806,43208,43475,42927.4
730,IN,Delaware,115767,115657,115246,114297,114135,115020.4
731,IN,Dubois,42317,42450,42538,42674,42736,42543.0
732,IN,Elkhart,202995,203642,204194,205617,206341,204557.8
733,IN,Fayette,23388,23252,23154,23076,23102,23194.4
734,IN,Floyd,76505,76734,77006,77834,78522,77320.2
735,IN,Fountain,16537,16457,16419,16390,16346,16429.8
736,IN,Franklin,22940,22770,22694,22706,22758,22773.6
737,IN,Fulton,20340,20118,19995,20053,19974,20096.0
738,IN,Gibson,33644,33644,33721,33610,33659,33655.6
739,IN,Grant,67479,66669,66305,66039,65769,66452.2
740,IN,Greene,32416,32228,32172,32059,31922,32159.4
741,IN,Hamilton,308428,315902,322933,330311,338011,323117.0
742,IN,Hancock,72413,73765,74998,76478,78168,75164.4
743,IN,Harrison,39532,39661,39777,40214,40515,39939.8
744,IN,Hendricks,157776,160376,163622,166908,170311,163798.6
745,IN,Henry,48655,48345,48170,48131,47972,48254.6
746,IN,Howard,82338,82304,82210,82257,82544,82330.6
747,IN,Huntington,36518,36294,36222,36243,36520,36359.4
748,IN,Jackson,43875,43997,43955,44068,44231,44025.2
749,IN,Jasper,33478,33405,33424,33365,33562,33446.8
750,IN,Jay,21137,21017,20883,20727,20436,20840.0
751,IN,Jefferson,32297,32230,32013,32157,32308,32201.0
752,IN,Jennings,27834,27648,27652,27679,27735,27709.6
753,IN,Johnson,148962,151540,153820,156093,158167,153716.4
754,IN,Knox,37760,37333,37044,36596,36594,37065.4
755,IN,Kosciusko,78547,78732,79026,79416,79456,79035.4
756,IN,LaGrange,38616,39113,39248,39375,39614,39193.2
757,IN,Lake,487908,486092,484601,484440,485493,485706.8
758,IN,LaPorte,110835,110222,109842,109981,109888,110153.6
759,IN,Lawrence,45568,45578,45592,45630,45370,45547.6
760,IN,Madison,129388,129329,129418,129573,129569,129455.4
761,IN,Marion,939843,945685,950537,958700,964582,951869.4
762,IN,Marshall,46733,46586,46433,46296,46258,46461.2
763,IN,Martin,10216,10190,10181,10219,10255,10212.2
764,IN,Miami,36004,36043,35864,35646,35516,35814.6
765,IN,Monroe,144247,145757,146638,147230,148431,146460.6
766,IN,Montgomery,38243,38238,38343,38274,38338,38287.2
767,IN,Morgan,69559,69633,69793,70137,70489,69922.2
768,IN,Newton,13971,13992,14027,13986,13984,13992.0
769,IN,Noble,47515,47398,47329,47543,47744,47505.8
770,IN,Ohio,5877,5885,5854,5879,5875,5874.0
771,IN,Orange,19634,19473,19423,19548,19646,19544.8
772,IN,Owen,20826,20898,20791,20862,20799,20835.2
773,IN,Parke,16970,16938,16907,16978,16937,16946.0
774,IN,Perry,19310,18978,18978,19077,19169,19102.4
775,IN,Pike,12407,12391,12315,12388,12389,12378.0
776,IN,Porter,167334,167475,168495,169488,170389,168636.2
777,IN,Posey,25613,25639,25569,25554,25427,25560.4
778,IN,Pulaski,12804,12618,12529,12492,12353,12559.2
779,IN,Putnam,37382,37113,37363,37486,37576,37384.0
780,IN,Randolph,25138,25112,24907,24806,24665,24925.6
781,IN,Ripley,28372,28381,28428,28450,28324,28391.0
782,IN,Rush,16708,16639,16643,16635,16581,16641.2
783,IN,St. Joseph,268361,269862,270057,270972,271826,270215.6
784,IN,Scott,23660,23687,23793,23784,23873,23759.4
785,IN,Shelby,44341,44229,44367,44522,44729,44437.6
786,IN,Spencer,20640,20491,20440,20385,20277,20446.6
787,IN,Starke,22860,23019,22935,22951,22995,22952.0
788,IN,Steuben,34469,34329,34384,34487,34594,34452.6
789,IN,Sullivan,20874,20710,20700,20696,20669,20729.8
790,IN,Switzerland,10614,10641,10686,10731,10751,10684.6
791,IN,Tippecanoe,186723,190292,191199,193817,195732,191552.6
792,IN,Tipton,15249,15163,15137,15112,15148,15161.8
793,IN,Union,7185,7139,7159,7029,7054,7113.2
794,IN,Vanderburgh,181504,181427,180954,181120,181451,181291.2
795,IN,Vermillion,15593,15593,15503,15510,15498,15539.4
796,IN,Vigo,107533,107790,107569,107367,107038,107459.4
797,IN,Wabash,31860,31513,31380,31198,30996,31389.4
798,IN,Warren,8270,8165,8204,8280,8265,8236.8
799,IN,Warrick,61522,62005,62401,62474,62998,62280.0
800,IN,Washington,27774,27728,27771,27932,28036,27848.2
801,IN,Wayne,66972,66630,66179,66046,65884,66342.2
802,IN,Wells,27851,27865,27958,28083,28296,28010.6
803,IN,White,24274,24074,24163,24133,24102,24149.2
804,IN,Whitley,33444,33475,33722,34047,33964,33730.4
805,IA,Iowa,3120960,3131371,3141550,3148618,3155070,3139513.8
806,IA,Adair,7145,7005,7051,7074,7152,7085.4
807,IA,Adams,3754,3692,3657,3644,3602,3669.8
808,IA,Allamakee,13874,13851,13803,13852,13687,13813.4
809,IA,Appanoose,12577,12505,12353,12401,12426,12452.4
810,IA,Audubon,5711,5626,5550,5471,5496,5570.8
811,IA,Benton,25608,25644,25656,25625,25645,25635.6
812,IA,Black Hawk,133701,133077,132238,131723,131228,132393.4
813,IA,Boone,26443,26416,26443,26312,26234,26369.6
814,IA,Bremer,24746,24747,24823,24941,25062,24863.8
815,IA,Buchanan,21105,21007,21126,21178,21175,21118.2
816,IA,Buena Vista,20374,20325,20144,19826,19620,20057.8
817,IA,Butler,14881,14702,14592,14525,14439,14627.8
818,IA,Calhoun,9801,9811,9729,9711,9668,9744.0
819,IA,Carroll,20423,20388,20274,20153,20165,20280.6
820,IA,Cass,13351,13176,13144,12948,12836,13091.0
821,IA,Cedar,18254,18348,18490,18564,18627,18456.6
822,IA,Cerro Gordo,42983,43096,42999,42642,42450,42834.0
823,IA,Cherokee,11483,11394,11307,11295,11235,11342.8
824,IA,Chickasaw,12151,12094,12002,11952,11933,12026.4
825,IA,Clarke,9219,9288,9396,9502,9395,9360.0
826,IA,Clay,16498,16295,16141,16106,16016,16211.2
827,IA,Clayton,17726,17661,17648,17540,17549,17624.8
828,IA,Clinton,47558,47248,46874,46437,46429,46909.2
829,IA,Crawford,17082,17103,17076,17089,16820,17034.0
830,IA,Dallas,80631,84248,87208,89953,93453,87098.6
831,IA,Davis,8777,8884,8969,8972,9000,8920.4
832,IA,Decatur,8137,8053,7947,7890,7870,7979.4
833,IA,Delaware,17393,17288,17143,17081,17011,17183.2
834,IA,Des Moines,39874,39613,39326,39149,38967,39385.8
835,IA,Dickinson,17004,17109,17141,17121,17258,17126.6
836,IA,Dubuque,96850,96763,97066,96922,97311,96982.4
837,IA,Emmet,9702,9581,9422,9277,9208,9438.0
838,IA,Fayette,20142,19858,19687,19679,19650,19803.2
839,IA,Floyd,15910,15857,15767,15752,15642,15785.6
840,IA,Franklin,10319,10177,10160,10085,10070,10162.2
841,IA,Fremont,6912,6947,6930,6981,6960,6946.0
842,IA,Greene,8944,9001,8954,8965,8888,8950.4
843,IA,Grundy,12405,12286,12298,12272,12232,12298.6
844,IA,Guthrie,10649,10642,10645,10720,10689,10669.0
845,IA,Hamilton,15218,15075,15032,14886,14773,14996.8
846,IA,Hancock,11028,10887,10756,10710,10630,10802.2
847,IA,Hardin,17253,17196,17073,16937,16846,17061.0
848,IA,Harrison,14139,14046,14107,14105,14049,14089.2
849,IA,Henry,19843,19833,20044,20033,19954,19941.4
850,IA,Howard,9313,9257,9229,9172,9158,9225.8
851,IA,Humboldt,9556,9530,9569,9559,9558,9554.4
852,IA,Ida,6968,6961,6869,6846,6860,6900.8
853,IA,Iowa,16282,16192,16133,16155,16184,16189.2
854,IA,Jackson,19366,19393,19382,19427,19439,19401.4
855,IA,Jasper,36750,36736,36995,37189,37185,36971.0
856,IA,Jefferson,17906,18063,18219,18256,18295,18147.8
857,IA,Johnson,144943,146928,149325,150549,151140,148577.0
858,IA,Jones,20433,20392,20618,20673,20681,20559.4
859,IA,Keokuk,10171,10170,10141,10213,10246,10188.2
860,IA,Kossuth,15158,15104,14939,14878,14813,14978.4
861,IA,Lee,34894,34458,34216,33909,33657,34226.8
862,IA,Linn,220271,222188,224379,225763,226706,223861.4
863,IA,Louisa,11285,11221,11195,11153,11035,11177.8
864,IA,Lucas,8610,8555,8533,8617,8600,8583.0
865,IA,Lyon,11747,11780,11785,11815,11755,11776.4
866,IA,Madison,15720,15796,16000,16206,16338,16012.0
867,IA,Mahaska,22312,22186,22211,22018,22095,22164.4
868,IA,Marion,33109,33146,33091,33259,33253,33171.6
869,IA,Marshall,40352,40135,40078,39888,39369,39964.4
870,IA,Mills,14882,15053,15060,15068,15109,15034.4
871,IA,Mitchell,10676,10644,10563,10571,10586,10608.0
872,IA,Monona,8866,8786,8724,8659,8615,8730.0
873,IA,Monroe,7924,7836,7798,7768,7707,7806.6
874,IA,Montgomery,10149,10124,10112,9961,9917,10052.6
875,IA,Muscatine,43068,42968,42872,42874,42664,42889.2
876,IA,O'Brien,13926,13926,13774,13798,13753,13835.4
877,IA,Osceola,6160,6095,6021,6028,5958,6052.4
878,IA,Page,15462,15329,15213,15229,15107,15268.0
879,IA,Palo Alto,9140,9034,9052,8903,8886,9003.0
880,IA,Plymouth,24899,25180,25060,25024,25177,25068.0
881,IA,Pocahontas,6967,6854,6833,6714,6619,6797.4
882,IA,Polk,467304,474277,480487,485833,490161,479612.4
883,IA,Pottawattamie,93563,93518,93416,93264,93206,93393.4
884,IA,Poweshiek,18358,18279,18334,18467,18504,18388.4
885,IA,Ringgold,4977,4985,5024,4940,4894,4964.0
886,IA,Sac,9966,9816,9803,9705,9721,9802.2
887,IA,Scott,171903,172135,172448,172803,172943,172446.4
888,IA,Shelby,11789,11655,11574,11559,11454,11606.2
889,IA,Sioux,34754,34944,34781,34802,34855,34827.2
890,IA,Story,96636,96893,97278,96781,97117,96941.0
891,IA,Tama,17217,17192,17029,16869,16854,17032.2
892,IA,Taylor,6246,6213,6095,6160,6121,6167.0
893,IA,Union,12430,12360,12459,12298,12241,12357.6
894,IA,Van Buren,7296,7241,7155,7013,7044,7149.8
895,IA,Wapello,35456,35265,35022,34991,34969,35140.6
896,IA,Warren,48468,49356,50078,51014,51466,50076.4
897,IA,Washington,22145,22126,22204,22058,21965,22099.6
898,IA,Wayne,6359,6447,6492,6405,6441,6428.8
899,IA,Webster,37066,36781,36637,36339,35904,36545.4
900,IA,Winnebago,10603,10602,10573,10539,10354,10534.2
901,IA,Winneshiek,20745,20427,20129,20017,19991,20261.8
902,IA,Woodbury,102492,102686,102132,102515,103107,102586.4
903,IA,Worth,7503,7471,7455,7413,7381,7444.6
904,IA,Wright,12841,12839,12765,12690,12562,12739.4
905,KS,Kansas,2909011,2910844,2908718,2911359,2913314,2910649.2
906,KS,Allen,12683,12670,12555,12501,12369,12555.6
907,KS,Anderson,7816,7812,7833,7848,7858,7833.4
908,KS,Atchison,16418,16376,16298,16173,16073,16267.6
909,KS,Barber,4824,4673,4570,4465,4427,4591.8
910,KS,Barton,27159,26878,26394,26057,25779,26453.4
911,KS,Bourbon,14733,14624,14609,14542,14534,14608.4
