,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
102,AZ,Coconino,138962,140407,141001,142523,143476,141273.8
103,AZ,Gila,52978,53356,53578,53801,54018,53546.2
104,AZ,Graham,37860,37807,37481,37995,38837,37996.0
105,AZ,Greenlee,9577,9643,9443,9448,9498,9521.8
106,AZ,La Paz,20466,20648,20706,21039,21108,20793.4
107,AZ,Maricopa,4172905,4256143,4327184,4402403,4485414,4328809.8
108,AZ,Mohave,204574,205412,207017,209292,212181,207695.2
109,AZ,Navajo,107638,108467,109079,110242,110924,109270.0
110,AZ,Pima,1009103,1016707,1026391,1036554,1047279,1027206.8
111,AZ,Pinal,405614,417193,431564,446806,462789,432793.2
112,AZ,Santa Cruz,46542,46400,46566,46395,46498,46480.2
113,AZ,Yavapai,220805,224575,228082,231772,235099,228066.6
114,AZ,Yuma,205186,207247,209507,211612,213787,209467.8
115,AR,Arkansas,2978048,2989918,3001345,3009733,3017804,2999369.6
116,AR,Arkansas,18330,18154,17872,17726,17486,17913.6
117,AR,Ashley,20838,20530,20311,20012,19657,20269.6
118,AR,Baxter,41138,41131,41308,41624,41932,41426.6
119,AR,Benton,251591,259212,266585,272266,279141,265759.0
120,AR,Boone,37119,37259,37459,37385,37432,37330.8
121,AR,Bradley,10999,10959,10813,10838,10763,10874.4
122,AR,Calhoun,5200,5143,5201,5227,5189,5192.0
123,AR,Carroll,27755,27728,27865,28097,28380,27965.0
124,AR,Chicot,10970,10899,10647,10442,10118,10615.2
125,AR,Clark,22513,22602,22184,22313,22320,22386.4
126,AR,Clay,15206,15060,14865,14763,14551,14889.0
127,AR,Cleburne,25355,25173,25059,24994,24919,25100.0
128,AR,Cleveland,8284,8245,8162,7995,7956,8128.4
129,AR,Columbia,24115,24026,23695,23586,23457,23775.8
130,AR,Conway,20936,20874,20810,20825,20846,20858.2
131,AR,Craighead,104457,105932,107188,108816,110332,107345.0
132,AR,Crawford,61904,62263,62894,63379,63257,62739.4
133,AR,Crittenden,49019,49306,48716,48363,47955,48671.8
134,AR,Cross,17255,17025,16792,16630,16419,16824.2
135,AR,Dallas,7530,7399,7307,7152,7009,7279.4
136,AR,Desha,12029,11905,11743,11507,11361,11709.0
137,AR,Drew,18613,18553,18370,18328,18219,18416.6
138,AR,Faulkner,121241,122206,123530,125138,126007,123624.4
139,AR,Franklin,17749,17655,17809,17764,17715,17738.4
140,AR,Fulton,12138,12099,12131,12308,12477,12230.6
141,AR,Garland,97814,98282,98327,98966,99386,98555.0
142,AR,Grant,18016,18064,18103,18180,18265,18125.6
143,AR,Greene,44300,44730,44993,45339,45325,44937.4
144,AR,Hempstead,22085,22032,21876,21685,21532,21842.0
145,AR,Hot Spring,33497,33438,33606,33672,33771,33596.8
146,AR,Howard,13336,13350,13365,13302,13202,13311.0
147,AR,Independence,37035,37117,37391,37768,37825,37427.2
148,AR,Izard,13487,13488,13666,13582,13629,13570.4
149,AR,Jackson,17365,17282,17017,16753,16719,17027.2
150,AR,Jefferson,71872,70407,69238,68067,66824,69281.6
151,AR,Johnson,26094,26127,26401,26659,26578,26371.8
152,AR,Lafayette,7010,6888,6797,6679,6624,6799.6
153,AR,Lawrence,16696,16639,16571,16432,16406,16548.8
154,AR,Lee,9672,9337,9127,8976,8857,9193.8
155,AR,Lincoln,13866,13728,13475,13184,13024,13455.4
156,AR,Little River,12402,12406,12373,12297,12259,12347.4
157,AR,Logan,21729,21732,21739,21673,21466,21667.8
158,AR,Lonoke,71359,71803,72778,73391,73309,72528.0
159,AR,Madison,15705,16112,16299,16362,16576,16210.8
160,AR,Marion,16215,16376,16429,16665,16694,16475.8
161,AR,Miller,43792,43713,43736,43362,43257,43572.0
162,AR,Mississippi,43729,42900,42112,41236,40651,42125.6
163,AR,Monroe,7452,7205,7013,6880,6701,7050.2
164,AR,Montgomery,9027,8936,8890,8910,8986,8949.8
165,AR,Nevada,8508,8378,8309,8308,8252,8351.0
166,AR,Newton,7846,7848,7815,7800,7753,7812.4
167,AR,Ouachita,24316,24013,23817,23620,23382,23829.6
168,AR,Perry,10307,10286,10346,10380,10455,10354.8
169,AR,Phillips,19546,19050,18599,18054,17782,18606.2
170,AR,Pike,10837,10826,10735,10666,10718,10756.4
171,AR,Poinsett,24002,23974,24071,23903,23528,23895.6
172,AR,Polk,20194,20145,20147,20019,19964,20093.8
173,AR,Pope,63608,63897,63634,63594,64072,63761.0
174,AR,Prairie,8299,8252,8248,8082,8062,8188.6
