State,County,AveragePop2015to2019,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
IL,Lawrence,16033,1050,981,67,994,21,0,33,81,367,530,70,775,124
IL,Lee,34389.4,2056,1924,131,1959,54,14,30,149,748,911,246,1599,11
IL,Livingston,36039.6,2546,2426,119,2377,40,20,112,226,1306,696,317,1800,41
IL,Logan,29002.8,1890,1714,174,1804,9,28,60,132,749,639,368,1479,93
IL,McDonough,30479,1894,1761,132,1762,83,2,46,73,762,658,399,1297,94
IL,McHenry,307714.2,14529,13545,983,13545,156,614,330,663,4240,5376,4247,11954,455
IL,McLean,172578.4,8202,7539,662,7149,518,268,354,268,2480,2628,2825,6618,494
IL,Macon,105527.6,7062,6506,556,6109,690,91,183,589,2646,2506,1319,5500,321
IL,Macoupin,45463.2,3387,3228,158,3269,18,38,73,247,1405,1359,373,2692,207
IL,Madison,264776,20286,18624,1661,18775,948,276,341,909,5839,8743,4793,15984,1252
IL,Marion,37743.2,2688,2534,153,2492,92,56,80,219,928,1128,411,1878,268
IL,Marshall,11679,990,947,42,960,0,21,21,85,448,324,131,818,73
IL,Mason,13621.4,1123,1079,44,1089,5,7,19,123,582,326,90,911,12
IL,Massac,14218.6,1029,973,56,947,81,0,0,71,341,479,136,765,21
IL,Menard,12306.4,1038,996,42,1008,11,0,17,58,383,371,223,898,120
IL,Mercer,15588.8,1223,1107,116,1201,18,0,2,84,558,440,139,952,31
IL,Monroe,34168.2,2237,2149,87,2215,0,8,13,60,762,771,642,1853,2
IL,Montgomery,28827.8,2202,2082,120,2108,43,22,34,170,927,746,358,1429,131
IL,Morgan,34247,2363,2171,191,2290,49,20,16,255,870,841,396,1901,351
IL,Moultrie,14640.6,905,841,63,877,17,10,0,66,437,219,181,648,52
IL,Ogle,51024.8,3400,3287,111,3212,53,120,49,418,1166,1226,588,2682,366
IL,Peoria,182769.6,9765,9135,629,8361,1001,300,235,559,2996,3881,2327,7137,473
IL,Perry,21250.6,1396,1307,87,1338,48,7,3,210,540,527,117,946,48
IL,Piatt,16401.2,1063,1031,32,1042,0,0,20,65,478,357,160,811,0
IL,Pike,15672.2,1055,1004,51,1026,10,8,10,72,517,352,112,835,20
IL,Pope,4203.4,476,467,9,473,0,3,0,66,141,180,85,211,25
IL,Pulaski,5510,475,433,40,324,138,5,7,8,181,229,55,276,57
IL,Putnam,5721.2,412,407,3,386,0,1,26,30,165,138,78,361,3
IL,Randolph,32295.2,2248,2090,156,2116,70,16,47,146,966,837,297,1540,212
IL,Richland,15766.2,1023,967,54,1009,0,0,13,126,355,437,103,669,62
IL,Rock Island,143873,9382,8730,650,8333,510,404,207,633,2972,3776,2000,7084,336
IL,St. Clair,262338.2,24608,21402,3205,17843,5193,671,1181,1022,5372,10111,8100,19753,909
IL,Saline,23993.6,1625,1553,70,1559,27,3,35,168,525,644,286,971,211
IL,Sangamon,196861.4,12642,11721,920,11426,843,122,304,694,3400,4752,3793,9958,599
IL,Schuyler,6953.4,494,460,33,420,59,0,15,39,175,183,95,156,0
IL,Scott,5004.6,364,361,2,347,2,0,12,17,203,105,35,263,29
IL,Shelby,21737.2,1502,1410,91,1477,0,21,2,128,776,383,213,1164,121
IL,Stark,5446.8,388,356,31,380,0,0,7,27,184,140,36,317,0
IL,Stephenson,45092.6,3191,2805,385,2912,238,7,32,181,1283,1162,563,2324,177
IL,Tazewell,133195.2,8727,8220,505,8538,40,73,83,540,3164,3254,1768,6832,480
IL,Union,16968.4,1207,1164,42,1134,0,25,47,57,481,411,256,842,109
IL,Vermilion,77562.6,5178,4811,366,4594,480,43,74,431,2186,1885,674,3037,197
IL,Wabash,11546.4,934,915,19,918,5,0,10,72,400,368,91,622,59
IL,Warren,17145.8,966,928,37,923,5,27,9,95,339,338,191,812,165
IL,Washington,14058,997,941,55,989,0,8,1,60,378,403,154,898,38
IL,Wayne,16402.4,1030,1017,12,973,1,0,56,114,412,385,117,845,3
IL,White,13868.2,999,936,61,991,0,5,2,60,391,465,80,731,124
IL,Whiteside,56015.6,3963,3812,150,3409,108,383,148,316,1513,1504,628,3203,79
IL,Will,689315.2,29993,27990,2002,23050,4132,1967,1478,1773,9522,11148,7549,24962,783
IL,Williamson,67102,5298,4890,408,4946,219,73,92,308,1509,2225,1254,3504,347
IL,Winnebago,284819.2,16663,15620,1043,14366,1249,643,554,1119,5393,6900,3250,13313,959
IL,Woodford,38699.8,2438,2255,182,2364,28,21,24,133,1126,638,539,2043,82
IN,Adams,35376,1430,1402,26,1401,0,27,0,181,677,396,173,1103,0
IN,Allen,372575,20041,18492,1549,16980,1972,467,822,1148,6214,8001,4677,15975,878
IN,Bartholomew,82480.6,3808,3541,267,3608,47,95,90,237,1385,1124,1060,3281,42
IN,Benton,8676.6,426,400,26,401,4,1,19,35,194,156,39,335,22
IN,Blackford,12013.4,943,889,53,908,0,4,31,128,572,173,67,675,12
IN,Boone,65544.2,3233,2824,408,2931,79,150,137,174,794,1088,1175,2572,95
IN,Brown,15064.4,1435,1244,190,1402,5,2,24,60,295,652,426,1015,146
IN,Carroll,20074.4,1537,1449,87,1515,0,12,15,130,624,568,214,1225,0
IN,Cass,37879.6,2529,2336,192,2350,8,73,158,203,1143,878,303,1891,158
IN,Clark,116506.8,7921,7222,698,7099,499,235,250,679,2617,2987,1637,6330,305
IN,Clay,26234.4,1768,1664,103,1685,69,8,4,85,791,705,186,1320,30
IN,Clinton,32273.2,1721,1672,48,1684,4,19,29,67,808,679,166,1320,26
IN,Crawford,10568.8,831,818,13,822,0,0,9,70,398,238,124,391,0
IN,Daviess,33119.6,1860,1778,81,1770,27,11,49,253,895,520,190,1189,59
IN,Dearborn,49479,3331,3139,191,3246,0,50,57,243,1279,1283,524,2829,85
IN,Decatur,26561.6,1269,1236,32,1231,12,0,23,87,654,384,142,1055,72
IN,DeKalb,42927.4,2247,2173,73,2108,31,75,63,242,1176,600,227,1705,80
IN,Delaware,115020.4,6501,6175,325,6022,348,108,53,451,2583,2116,1349,5131,466
IN,Dubois,42543,1894,1807,85,1831,17,44,44,143,704,788,259,1501,9
IN,Elkhart,204557.8,8726,8324,400,7737,337,404,368,751,3809,2787,1378,6997,188
IN,Fayette,23194.4,1613,1569,43,1605,3,4,0,249,698,547,117,1076,0
IN,Floyd,77320.2,4639,4349,289,4330,178,42,121,334,1523,1701,1079,3683,91
IN,Fountain,16429.8,1083,1015,67,1056,0,0,26,85,580,360,56,838,38
IN,Franklin,22773.6,1442,1310,131,1419,0,23,0,106,684,328,323,1221,0
IN,Fulton,20096,1547,1429,117,1482,9,18,35,113,685,540,207,1031,142
IN,Gibson,33655.6,2240,2084,154,2066,70,6,96,198,953,790,298,1655,41
IN,Grant,66452.2,4489,4235,253,3973,352,71,109,336,1987,1377,787,2884,184
IN,Greene,32159.4,2090,1960,130,2065,13,10,0,146,907,791,244,1607,30
IN,Hamilton,323117,14009,12855,1152,11992,766,636,706,312,2527,5034,6134,12353,540
IN,Hancock,75164.4,5552,5126,426,4970,164,76,339,157,2029,2023,1341,4650,32
IN,Harrison,39939.8,2871,2645,225,2732,73,45,19,276,1126,981,487,1948,165
IN,Hendricks,163798.6,9501,8882,617,8649,631,88,147,444,3352,3329,2374,8178,200
IN,Henry,48254.6,3450,3305,145,3345,44,12,48,240,1610,1157,441,2246,37
IN,Howard,82330.6,5874,5460,412,5229,423,57,189,541,2063,2200,1068,4803,200
IN,Huntington,36359.4,2422,2302,119,2308,17,48,65,133,804,1079,404,1888,19
IN,Jackson,44025.2,2064,2001,62,1985,0,14,71,172,819,748,324,1392,39
IN,Jasper,33446.8,2176,2125,50,2121,5,48,37,153,1016,664,340,1806,79
IN,Jay,20840,1100,1078,20,1089,0,3,9,93,671,227,107,867,87
IN,Jefferson,32201,2152,2024,127,1970,59,55,65,106,1017,711,316,1533,11
IN,Jennings,27709.6,1969,1866,102,1932,11,25,0,188,1001,522,257,1503,64
IN,Johnson,153716.4,9240,8608,630,8761,142,201,217,375,3208,3307,2349,8013,557
IN,Knox,37065.4,2351,2108,242,2199,41,53,57,156,1024,862,307,1889,150
IN,Kosciusko,79035.4,4546,4266,278,4408,53,12,72,379,1737,1430,997,3665,140
IN,LaGrange,39193.2,1410,1277,132,1365,4,3,35,195,580,468,164,942,0
IN,Lake,485706.8,26202,24292,1910,16307,6421,3101,2100,2068,10657,8897,4578,20067,1163
IN,LaPorte,110153.6,7544,7101,443,6663,602,186,207,411,3196,2761,1175,5939,329
IN,Lawrence,45547.6,3654,3442,211,3546,21,0,85,337,1418,1335,563,2906,140
IN,Madison,129455.4,9138,8734,402,8161,706,127,166,569,3790,3253,1524,6886,288
IN,Marion,951869.4,47766,42630,5135,32525,12543,1362,1874,3866,15103,17117,11678,36541,2229
IN,Marshall,46461.2,2489,2348,141,2394,9,76,29,145,942,835,566,2115,147
IN,Martin,10212.2,988,889,99,971,0,2,15,25,469,383,108,709,46
IN,Miami,35814.6,3117,2864,252,2953,82,40,63,257,1470,1098,290,2226,82
IN,Monroe,146460.6,6163,5611,550,5420,297,182,290,414,1430,1908,2408,4879,358
IN,Montgomery,38287.2,2290,2147,143,2137,35,26,89,154,1077,775,281,1852,172
IN,Morgan,69922.2,5461,5006,454,5370,7,75,56,477,2031,2017,933,4273,160
IN,Newton,13992,1013,897,115,986,0,24,2,145,442,308,115,740,171
IN,Noble,47505.8,2913,2732,180,2826,17,12,56,277,1330,965,339,2274,35
IN,Ohio,5874,431,404,26,426,4,0,0,45,173,175,37,329,0
IN,Orange,19544.8,1264,1187,77,1237,18,0,7,195,577,387,104,845,19
IN,Owen,20835.2,1417,1270,146,1359,20,20,37,151,589,502,174,1078,162
IN,Parke,16946,1307,1195,111,1221,14,16,55,90,642,453,120,797,61
IN,Perry,19102.4,1408,1318,90,1388,0,11,14,132,606,412,256,988,10
IN,Pike,12378,691,621,69,680,10,0,0,76,249,232,132,561,15
IN,Porter,168636.2,9727,9187,538,8425,338,761,378,480,3973,3286,1986,7903,463
IN,Posey,25560.4,1869,1719,148,1787,21,31,36,146,742,730,249,1408,6
IN,Pulaski,12559.2,871,789,82,847,3,12,17,108,440,182,139,518,108
IN,Putnam,37384,2529,2347,182,2436,70,7,23,149,1034,1019,326,1666,64
IN,Randolph,24925.6,1600,1545,55,1548,13,10,39,143,715,572,170,1074,18
IN,Ripley,28391,2144,2037,107,2079,16,12,36,263,1102,576,201,1678,122
IN,Rush,16641.2,990,931,58,990,0,0,0,92,482,323,93,707,38
IN,St. Joseph,270215.6,12975,12026,949,10970,1410,291,423,1100,4763,4434,2676,9884,456
IN,Scott,23759.4,1556,1397,158,1518,0,28,9,206,563,547,238,1214,253
IN,Shelby,44437.6,2936,2783,152,2781,101,33,17,274,1417,857,386,2118,25
IN,Spencer,20446.6,1657,1507,148,1608,29,5,14,110,698,633,214,1436,5
IN,Starke,22952,1497,1377,119,1477,0,19,4,168,742,442,143,1000,39
IN,Steuben,34452.6,2214,2076,138,2109,0,58,62,142,908,759,403,1990,64
IN,Sullivan,20729.8,1304,1247,56,1171,58,5,72,51,614,449,189,871,53
IN,Switzerland,10684.6,1000,877,123,903,0,40,55,122,401,287,188,689,22
IN,Tippecanoe,191552.6,7485,6967,517,6958,224,168,181,444,2615,2605,1819,6339,204
IN,Tipton,15161.8,1141,1080,60,1116,0,8,16,44,507,320,269,961,91
IN,Union,7113.2,515,497,17,505,3,6,0,108,193,123,90,446,0
IN,Vanderburgh,181291.2,11348,10527,821,10055,1132,74,125,861,4142,4037,2306,8344,622
IN,Vermillion,15539.4,1246,1180,65,1198,38,0,8,86,627,425,107,854,15
IN,Vigo,107459.4,6974,6471,503,6157,497,148,267,312,2473,2889,1298,4778,261
IN,Wabash,31389.4,1837,1745,91,1750,17,10,59,159,993,478,205,1536,118
IN,Warren,8236.8,622,566,55,610,0,0,11,66,275,184,95,482,3
IN,Warrick,62280,3881,3631,250,3663,78,6,132,262,1279,1548,790,3229,65
IN,Washington,27848.2,1839,1740,98,1767,0,16,54,185,807,692,153,1316,49
IN,Wayne,66342.2,4655,4410,244,4132,371,39,115,363,1828,1580,883,3343,130
IN,Wells,28010.6,1786,1730,55,1752,11,11,22,211,690,655,228,1540,40
IN,White,24149.2,1854,1737,117,1764,12,43,58,144,897,575,236,1532,121
IN,Whitley,33730.4,2101,1917,183,2070,13,17,0,154,884,766,295,1669,0
IA,Adair,7085.4,492,463,28,491,0,0,1,23,199,186,82,376,17
IA,Adams,3669.8,272,268,3,272,0,0,0,4,89,132,44,173,6
IA,Allamakee,13813.4,898,830,67,895,0,0,1,60,396,304,136,786,45
IA,Appanoose,12452.4,887,817,69,832,27,16,10,115,296,351,123,494,148
IA,Audubon,5570.8,397,367,30,392,3,3,0,59,128,159,50,320,0
IA,Benton,25635.6,1689,1534,154,1636,7,44,0,110,733,523,321,1358,62
IA,Black Hawk,132393.4,7589,6964,623,6855,504,111,155,354,2912,2795,1526,5919,264
IA,Boone,26369.6,1648,1549,98,1619,0,27,15,62,545,655,384,1532,0
IA,Bremer,24863.8,1598,1515,82,1522,8,34,32,71,701,418,406,1430,16
IA,Buchanan,21118.2,1338,1262,76,1330,0,5,1,113,614,397,213,1044,65
IA,Buena Vista,20057.8,809,785,24,788,0,9,11,46,335,286,140,729,17
IA,Butler,14627.8,996,949,46,977,0,14,13,68,522,308,96,835,31
IA,Calhoun,9744,715,691,23,692,0,5,22,61,354,227,72,462,13
IA,Carroll,20280.6,1201,1126,74,1156,1,26,35,130,567,359,143,1038,5
IA,Cass,13091,798,754,43,794,1,0,0,66,302,274,155,689,33
IA,Cedar,18456.6,1431,1330,100,1410,0,1,19,111,639,500,180,1165,119
IA,Cerro Gordo,42834,2812,2703,107,2684,4,88,46,248,901,1069,592,2234,392
IA,Cherokee,11342.8,854,839,14,854,0,0,0,33,375,312,131,810,112
IA,Chickasaw,12026.4,830,797,33,830,0,0,0,64,437,265,61,645,0
IA,Clarke,9360,611,577,33,601,6,0,4,44,250,185,131,452,10
IA,Clay,16211.2,1094,1015,78,1090,2,2,0,76,433,406,177,966,0
IA,Clayton,17624.8,1321,1226,95,1311,0,7,9,90,708,359,161,1041,21
IA,Clinton,46909.2,3555,3300,253,3282,99,94,79,218,1618,1251,467,2573,130
IA,Crawford,17034,805,753,51,796,0,4,4,92,366,249,95,552,83
IA,Dallas,87098.6,4082,3747,333,3910,59,74,39,87,934,1725,1334,3571,192
IA,Davis,8920.4,456,452,3,456,0,0,0,51,197,115,92,411,26
IA,Decatur,7979.4,421,396,23,399,0,4,20,24,170,142,82,317,0
IA,Delaware,17183.2,989,890,98,973,0,13,3,109,419,270,189,842,16
IA,Des Moines,39385.8,2996,2727,268,2744,146,24,94,250,1105,1065,574,2248,171
IA,Dickinson,17126.6,1177,1085,92,1121,6,44,4,62,373,398,344,1042,13
IA,Dubuque,96982.4,5465,5165,299,5260,67,34,106,492,2198,1561,1213,4384,135
IA,Emmet,9438,535,490,44,535,0,0,0,66,202,217,48,428,9
IA,Fayette,19803.2,1322,1237,84,1210,50,3,59,96,539,482,203,973,0
IA,Floyd,15785.6,1304,1072,231,1238,28,15,23,86,566,505,146,1127,71
IA,Franklin,10162.2,554,524,29,542,11,0,0,13,261,218,60,442,42
IA,Fremont,6946,541,467,73,506,0,0,34,21,180,219,120,386,17
IA,Greene,8950.4,667,573,93,667,0,0,0,54,287,247,78,506,55
IA,Grundy,12298.6,635,612,21,612,15,0,6,35,344,145,110,519,17
IA,Guthrie,10669,776,699,76,760,0,0,15,49,297,335,93,617,0
IA,Hamilton,14996.8,895,813,81,889,0,0,5,17,376,299,201,750,45
IA,Hancock,10802.2,635,584,49,612,0,17,13,43,276,182,132,594,19
IA,Hardin,17061,1216,1160,55,1202,0,8,6,79,554,374,207,971,3
IA,Harrison,14089.2,1026,989,36,1026,0,0,0,90,417,370,148,832,16
IA,Henry,19941.4,1489,1399,89,1418,17,12,51,132,509,684,161,986,26
IA,Howard,9225.8,626,576,48,602,3,20,0,58,193,232,141,543,19
IA,Humboldt,9554.4,668,622,44,652,0,0,16,44,263,268,92,496,23
IA,Ida,6900.8,442,434,6,411,0,12,17,53,212,139,35,390,0
IA,Jackson,19401.4,1332,1247,84,1330,0,0,1,111,542,461,216,1144,89
IA,Jasper,36971,2387,2232,155,2339,13,4,29,191,928,832,434,1846,104
IA,Jefferson,18147.8,1533,1484,49,1108,399,24,14,106,711,340,374,1475,122
IA,Johnson,148577,5055,4504,550,4679,86,161,140,301,1088,1667,1997,3924,125
IA,Jones,20559.4,1610,1538,70,1598,12,0,0,152,686,553,217,1201,72
IA,Keokuk,10188.2,689,671,17,684,2,0,3,37,321,225,104,536,3
IA,Kossuth,14978.4,1165,1080,83,1129,0,8,27,94,545,368,157,1066,129
IA,Lee,34226.8,2504,2355,148,2339,34,50,88,136,1202,876,287,1901,72
IA,Linn,223861.4,13891,12673,1217,13129,336,237,206,610,4061,5243,3975,11842,376
IA,Louisa,11177.8,563,537,25,557,2,0,2,50,226,216,70,445,3
IA,Lucas,8583,559,545,14,551,0,1,5,44,284,124,105,434,36
IA,Lyon,11776.4,638,618,18,627,0,7,6,78,293,189,76,504,0
IA,Madison,16012,856,751,104,856,0,0,0,65,288,304,196,652,0
IA,Mahaska,22164.4,1107,1042,65,1036,22,45,1,105,421,399,179,898,33
IA,Marion,33171.6,1951,1775,175,1898,0,0,51,120,659,799,372,1474,113
IA,Marshall,39964.4,2867,2717,148,2773,0,36,71,250,1133,1004,478,1966,0
IA,Mills,15034.4,1171,1109,62,1138,0,24,13,58,383,338,392,972,9
IA,Mitchell,10608,753,693,59,713,0,16,22,62,314,293,82,586,8
IA,Monona,8730,704,664,38,688,0,9,5,67,277,264,94,596,74
IA,Monroe,7806.6,486,453,32,480,0,0,5,75,203,170,36,386,0
IA,Montgomery,10052.6,625,593,32,595,0,28,30,42,248,237,97,507,0
IA,Muscatine,42889.2,2066,1957,108,1956,23,19,68,116,739,855,354,1658,0
IA,O'Brien,13835.4,924,872,51,860,12,48,35,49,382,411,81,771,0
IA,Osceola,6052.4,419,358,60,396,18,1,4,44,156,176,42,370,0
IA,Page,15268,1084,983,100,1084,0,0,0,58,463,383,176,748,51
IA,Palo Alto,9003,654,601,51,641,1,9,2,87,257,232,77,437,4
IA,Plymouth,25068,1691,1455,235,1680,0,10,3,87,602,681,318,1328,11
IA,Pocahontas,6797.4,491,466,24,488,0,2,1,51,239,160,39,413,3
IA,Polk,479612.4,23447,21999,1447,21614,759,570,673,1118,6329,9023,6974,18960,859
IA,Pottawattamie,93393.4,6719,6400,318,6395,0,115,221,490,2567,2310,1350,5621,70
IA,Poweshiek,18388.4,1230,1113,116,1213,0,10,16,110,561,322,236,924,15
IA,Ringgold,4964,313,285,28,309,0,0,4,4,168,97,43,229,46
IA,Sac,9802.2,672,598,73,637,0,7,27,60,301,228,83,567,41
IA,Scott,172446.4,11851,11108,742,10522,660,474,314,439,3478,4329,3604,9463,363
IA,Shelby,11606.2,821,784,36,797,1,1,22,118,359,232,109,715,0
IA,Sioux,34827.2,1454,1408,45,1436,6,10,0,102,533,525,291,1221,0
IA,Story,96941,3773,3406,365,3587,40,34,136,120,846,1309,1496,2828,74
IA,Tama,17032.2,1090,1047,41,1006,7,7,67,64,542,358,124,932,17
IA,Taylor,6167,468,438,29,438,0,1,29,34,214,136,82,404,61
IA,Union,12357.6,869,794,74,851,0,4,12,34,340,350,143,800,54
IA,Van Buren,7149.8,534,486,48,506,6,11,9,82,186,188,76,340,12
IA,Wapello,35140.6,2379,2130,248,2260,27,49,71,300,827,797,454,1723,46
IA,Warren,50076.4,3080,2800,280,3008,25,42,2,156,1021,1263,639,2375,42
IA,Washington,22099.6,1451,1328,122,1394,1,42,13,101,615,507,226,1225,28
IA,Wayne,6428.8,400,383,17,385,0,9,6,24,214,137,25,296,10
IA,Webster,36545.4,2456,2267,187,2240,13,68,134,255,881,767,551,1759,59
IA,Winnebago,10534.2,613,561,51,608,0,3,3,46,296,182,87,466,18
IA,Winneshiek,20261.8,1050,1011,37,1036,12,0,0,72,402,284,288,887,0
IA,Woodbury,102586.4,5325,4979,344,4967,16,178,210,300,1969,1852,1202,4230,187
IA,Worth,7444.6,557,535,21,535,0,9,10,33,215,246,61,446,47
IA,Wright,12739.4,828,806,22,765,0,47,55,70,351,344,61,683,139
KS,Allen,12555.6,852,781,70,831,5,14,0,18,370,315,148,654,7
KS,Anderson,7833.4,564,550,14,561,0,0,3,44,303,92,123,542,0
KS,Atchison,16267.6,981,933,48,835,58,59,42,85,379,366,150,730,6
KS,Barber,4591.8,287,280,6,278,0,2,6,18,104,76,85,234,0
KS,Barton,26453.4,1546,1441,103,1460,21,52,23,202,546,530,266,1290,97
KS,Bourbon,14608.4,941,905,36,903,9,14,16,88,304,377,169,778,66
KS,Brown,9626.4,701,650,50,616,8,0,76,48,302,216,133,558,24
KS,Butler,66698,4899,4609,290,4589,59,155,127,279,1203,2159,1256,3653,91
KS,Chase,2637.4,189,172,16,182,7,0,0,9,60,74,45,134,0
KS,Chautauqua,3323.2,279,271,8,271,2,0,4,25,133,109,12,225,13
KS,Cherokee,20178.8,1206,1172,33,1106,42,0,58,141,496,433,134,811,138
KS,Cheyenne,2665.4,218,214,3,210,0,8,0,17,88,69,44,85,0
KS,Clark,2025.8,173,164,8,157,0,9,7,10,59,80,23,113,25
KS,Clay,8081.8,930,846,84,849,0,44,34,126,296,240,267,810,4
KS,Cloud,8938,590,538,51,549,33,0,7,73,193,173,147,493,0
KS,Coffey,8253.8,785,713,70,741,0,6,35,46,210,359,170,709,2
KS,Comanche,1772,99,87,11,93,0,6,6,13,39,34,11,69,0
KS,Cowley,35351.2,2330,2125,204,2078,82,33,153,123,776,1007,422,1655,110
KS,Crawford,38967.8,1990,1865,124,1862,28,56,49,89,490,884,525,1440,99
KS,Decatur,2860.2,232,221,10,217,14,0,0,6,86,79,61,182,0
KS,Dickinson,18827.8,1788,1594,193,1645,53,36,61,96,570,831,289,1305,72
KS,Doniphan,7684.2,566,548,17,527,33,0,5,33,222,205,103,427,0
KS,Douglas,120290.4,4869,4543,325,4062,225,250,475,176,1040,1641,2010,4081,123
KS,Edwards,2869,129,123,6,115,8,4,0,2,42,62,21,104,0
KS,Elk,2522.6,200,194,6,200,0,0,0,22,92,56,28,122,17
KS,Ellis,28775,1452,1205,246,1376,43,14,24,96,318,581,455,1132,0
KS,Ellsworth,6230.6,394,365,28,319,36,8,35,42,133,133,83,285,12
KS,Finney,36749.6,990,918,72,744,29,138,86,80,291,429,188,889,28
KS,Ford,34179,927,884,42,731,12,170,12,38,261,499,127,794,18
KS,Franklin,25558.4,1657,1506,149,1529,30,61,39,151,684,562,258,1349,49
KS,Geary,34025,4822,3811,1010,2749,1263,519,438,126,920,2639,1135,3993,59
KS,Gove,2637.8,150,148,1,148,0,1,0,8,85,43,13,90,0
KS,Graham,2519,184,173,10,138,19,0,26,8,83,64,27,162,0
KS,Grant,7466.6,259,250,9,219,0,39,0,0,93,119,47,200,0
KS,Gray,6039,263,249,13,248,0,12,4,17,45,112,87,249,0
KS,Greeley,1253.2,64,56,8,64,0,0,0,0,23,21,20,46,0
KS,Greenwood,6081,522,503,18,505,0,13,12,13,210,175,122,409,12
KS,Hamilton,2591.4,123,119,3,69,47,2,2,2,93,15,11,111,0
KS,Harper,5594.4,403,367,35,378,2,4,19,12,210,99,80,248,6
KS,Harvey,34502.6,1897,1715,180,1649,0,180,117,286,546,577,486,1565,34
KS,Haskell,4018.4,96,85,10,75,0,21,15,9,7,79,0,73,62
KS,Hodgeman,1839.8,120,111,8,120,0,0,0,9,44,45,21,108,0
KS,Jackson,13265.6,1140,1085,55,1072,3,3,65,56,384,543,156,700,7
KS,Jefferson,18889.8,1475,1396,78,1376,34,40,35,91,621,560,201,1136,37
KS,Jewell,2884.8,230,225,5,224,0,1,5,26,124,43,35,151,0
KS,Johnson,591506.4,28353,26659,1692,25493,1042,1007,981,627,4800,9805,13119,24444,967
KS,Kearny,3906.6,151,149,1,151,0,0,0,0,69,65,17,128,0
KS,Kingman,7340,571,535,35,526,9,11,23,15,238,186,130,370,15
KS,Kiowa,2505.4,138,129,7,131,0,4,1,10,54,50,23,106,11
KS,Labette,20118.8,1167,1097,70,1084,19,8,61,43,339,607,177,792,0
KS,Lane,1570.4,111,110,1,111,0,0,0,5,34,34,35,111,0
KS,Leavenworth,80745.4,9567,8342,1224,7891,905,465,388,304,2050,3334,3877,6871,221
KS,Lincoln,3044.4,235,235,0,226,1,7,0,14,118,91,8,155,0
KS,Linn,9671.4,708,672,36,671,0,4,31,85,220,339,62,378,42
KS,Logan,2805,163,154,9,156,1,0,3,13,68,56,23,121,37
KS,Lyon,33250.8,1696,1498,197,1577,54,67,3,47,547,730,370,1401,45
KS,McPherson,28566.8,1441,1371,69,1364,11,49,24,152,468,420,399,1329,95
KS,Marion,11964.4,777,694,82,747,0,24,8,49,286,293,146,633,50
KS,Marshall,9748.6,695,646,48,681,1,0,11,60,349,212,71,565,18
KS,Meade,4179.6,188,188,0,146,0,14,25,7,53,109,16,159,0
KS,Miami,33416.8,2189,1966,222,2061,23,39,105,67,875,743,501,1731,0
KS,Mitchell,6145.4,414,411,2,414,0,0,0,23,196,156,36,363,14
KS,Montgomery,32521,2375,2277,96,2133,77,84,87,172,842,924,434,1808,113
KS,Morris,5566,516,467,48,486,0,3,26,32,163,206,113,361,10
KS,Morton,2754,165,115,49,125,0,0,39,10,32,115,7,67,0
KS,Nemaha,10119.8,556,536,18,526,1,15,12,74,272,127,82,505,0
KS,Neosho,16108,899,847,52,826,26,17,39,102,304,321,170,600,0
KS,Ness,2875.8,202,197,5,199,0,0,2,5,86,92,17,186,0
KS,Norton,5445.6,315,304,10,305,8,0,1,8,140,112,53,245,4
KS,Osage,15881,1447,1338,107,1388,8,23,31,61,697,424,263,1022,27
KS,Osborne,3529.6,210,206,3,206,0,0,3,10,85,75,38,138,0
KS,Ottawa,5822.4,373,337,34,351,4,17,6,10,126,153,84,342,0
KS,Pawnee,6628,552,521,30,464,14,51,27,41,153,251,103,271,26
KS,Phillips,5340.4,397,369,27,376,0,7,11,13,159,168,54,331,0
KS,Pottawatomie,23847.2,1531,1415,115,1367,9,79,113,60,570,453,446,1262,43
KS,Pratt,9451.6,513,492,20,477,5,21,7,31,196,194,91,358,3
KS,Rawlins,2502.2,183,170,11,173,0,9,4,4,55,92,29,155,0
KS,Reno,62764.6,4077,3914,163,3721,41,223,187,246,1113,1850,865,3129,199
KS,Republic,4657.8,340,307,32,325,0,14,0,4,147,114,73,252,8
KS,Rice,9658,499,447,51,459,0,11,29,26,235,155,81,358,11
KS,Riley,75055.6,5160,4549,610,4136,433,408,227,84,1012,2162,1900,4182,170
KS,Rooks,5053.4,344,321,23,337,0,2,4,61,124,113,45,274,0
KS,Rush,3058.4,210,205,5,210,0,0,0,15,93,58,43,164,13
KS,Russell,6947.8,453,441,12,431,2,0,19,60,113,207,69,361,53
KS,Saline,54700.6,3799,3571,228,3271,182,251,180,201,1226,1628,742,3151,24
KS,Scott,4917.4,185,166,18,169,0,0,14,0,89,44,50,171,0
KS,Sedgwick,513375.4,31794,29256,2536,26641,2702,1339,1570,1406,8565,13284,8537,25933,1622
KS,Seward,22349,541,520,21,464,7,61,27,52,165,189,134,405,3
KS,Shawnee,177852,12707,11736,969,10638,1124,729,398,486,4677,4163,3379,9467,636
KS,Sheridan,2505.8,171,170,1,163,7,0,0,12,73,63,19,83,0
KS,Sherman,5937.8,240,235,4,231,0,0,9,0,109,117,13,240,0
KS,Smith,3626.6,305,272,32,305,0,0,0,15,137,85,68,267,16
